rank,player-name,year signed,age,year 2,value,average/year
2,Reggie Bush,2006-2011 (FA: 2012),21,6,"$52,500,000","$8,750,000"
4,Jamal Lewis,2006-2008 (FA: 2009),26,3,"$26,000,000","$8,666,667"
1,Shaun Alexander,2006-2013 (FA: 2014),28,8,"$62,000,000","$7,750,000"
3,Edgerrin James,2006-2009 (FA: 2010),27,4,"$30,000,000","$7,500,000"
6,Travis Henry,2006-2009 (FA: 2010),27,4,"$20,293,000","$5,073,250"
5,Brian Westbrook,2006-2010 (FA: 2011),26,5,"$25,000,000","$5,000,000"
7,Willie Parker,2006-2009 (FA: 2010),25,4,"$16,600,000","$4,150,000"
10,Warrick Dunn,2006-2008 (FA: 2009),30,3,"$12,450,000","$4,150,000"
8,Curtis Martin,2006-2009 (FA: 2010),33,4,"$14,500,000","$3,625,000"
9,Chester Taylor,2006-2009 (FA: 2010),26,4,"$14,100,000","$3,525,000"
21,Ahman Green,2006-2006 (FA: 2007),28,1,"$2,350,000","$2,350,000"
11,Joseph Addai,2006-2010 (FA: 2011),22,5,"$10,665,000","$2,133,000"
12,DeAngelo Williams,2006-2010 (FA: 2011),23,5,"$10,425,000","$2,085,000"
13,Laurence Maroney,2006-2010 (FA: 2011),21,5,"$9,000,000","$1,800,000"
18,Michael Bennett,2006-2007 (FA: 2008),27,2,"$2,900,000","$1,450,000"
16,Ron Dayne,2006-2008 (FA: 2009),27,3,"$3,290,000","$1,096,667"
14,Jason McKie,2006-2010 (FA: 2011),25,5,"$4,730,000","$946,000"
15,Lendale White,2006-2009 (FA: 2010),21,4,"$3,710,000","$927,500"
26,Verron Haynes,2006-2007 (FA: 2008),27,2,"$1,750,000","$875,000"
17,Rock Cartwright,2006-2009 (FA: 2010),26,4,"$3,035,000","$758,750"
36,Ovie Mughelli,2006-2006 (FA: 2007),25,1,"$721,600","$721,600"
19,Maurice Jones-Drew,2006-2009 (FA: 2010),21,4,"$2,785,000","$696,250"
39,Sammy Morris,2006-2006 (FA: 2007),28,1,"$625,000","$625,000"
39,James Mungro,2006-2006 (FA: 2007),27,1,"$625,000","$625,000"
41,Ron Dayne,2006-2006 (FA: 2007),28,1,"$600,000","$600,000"
20,Brian Calhoun,2006-2009 (FA: 2010),22,4,"$2,363,000","$590,750"
22,Jerious Norwood,2006-2009 (FA: 2010),22,4,"$2,330,500","$582,625"
23,Leon Washington,2006-2009 (FA: 2010),23,4,"$2,039,250","$509,813"
30,P.J.  Daniels,2006-2008 (FA: 2009),23,3,"$1,361,000","$453,667"
24,Jerome Harrison,2006-2009 (FA: 2010),23,4,"$1,789,000","$447,250"
25,David Kirtman,2006-2009 (FA: 2010),23,4,"$1,757,500","$439,375"
34,Jason Wright,2006-2007 (FA: 2008),23,2,"$865,000","$432,500"
27,Wali Lundy,2006-2009 (FA: 2010),22,4,"$1,706,000","$426,500"
28,J.D. Runnels,2006-2009 (FA: 2010),21,4,"$1,695,000","$423,750"
29,Justin Hamilton,2006-2009 (FA: 2010),23,4,"$1,669,000","$417,250"
35,Quincy Wilson,2006-2007 (FA: 2008),24,2,"$785,000","$392,500"
31,Cedric Humes,2006-2008 (FA: 2009),19,3,"$1,110,000","$370,000"
32,Quinton Ganther,2006-2008 (FA: 2009),22,3,"$1,107,775","$369,258"
43,Cedric Cobbs,2006-2006 (FA: 2007),24,1,"$350,000","$350,000"
37,Patrick Cobbs,2006-2007 (FA: 2008),22,2,"$670,000","$335,000"
38,Fred Jackson,2006-2007 (FA: 2008),24,2,"$635,000","$317,500"
33,Maurice Morris,2006-2008 (FA: 2009),26,3,"$900,000","$300,000"
44,Cory Ross,2006-2006 (FA: 2007),23,1,"$276,500","$276,500"
42,Ryan Grant,2006-2007 (FA: 2008),23,2,"$545,000","$272,500"
45,Quinton Ganther,2006-2007 (FA: 0),21,2,"$27,775","$13,888"
