rank,player-name,year signed,age,year 2,value,average/year
1,Ezekiel Elliott,2019-2026 (FA: 2027),24,6,"$90,000,000","$15,000,000"
2,Le'Veon Bell,2019-2022 (FA: 2023),27,4,"$52,500,000","$13,125,000"
3,Mark Ingram,2019-2021 (FA: 2022),29,3,"$15,000,000","$5,000,000"
6,Cordarrelle Patterson,2019-2020 (FA: 2021),27,2,"$10,000,000","$5,000,000"
7,Giovani Bernard,2019-2021 (FA: 2022),27,2,"$9,700,000","$4,850,000"
9,Tevin Coleman,2019-2020 (FA: 2021),25,2,"$8,500,000","$4,250,000"
4,Latavius Murray,2019-2022 (FA: 2023),29,4,"$14,400,000","$3,600,000"
25,Jalen Richard,2019-2019 (FA: 2020),25,1,"$3,095,000","$3,095,000"
10,Mike Davis,2019-2020 (FA: 2021),26,2,"$6,000,000","$3,000,000"
26,LeSean McCoy,2019-2019 (FA: 2020),31,1,"$3,000,000","$3,000,000"
5,Josh Jacobs,2019-2022 (FA: 2023),21,4,"$11,933,398","$2,983,350"
8,Raheem Mostert,2019-2021 (FA: 2022),26,3,"$8,700,000","$2,900,000"
30,Carlos Hyde,2019-2019 (FA: 2020),28,1,"$2,800,000","$2,800,000"
12,Adrian Peterson,2019-2020 (FA: 2021),33,2,"$5,030,000","$2,515,000"
40,Theo Riddick,2019-2019 (FA: 2020),28,1,"$2,500,000","$2,500,000"
41,Peyton Barber,2019-2019 (FA: 2020),25,1,"$2,125,000","$2,125,000"
42,Malcolm Brown,2019-2019 (FA: 2020),25,1,"$2,025,000","$2,025,000"
42,Raheem Mostert,2019-2019 (FA: 2020),26,1,"$2,025,000","$2,025,000"
44,Frank Gore,2019-2019 (FA: 2020),35,1,"$2,000,000","$2,000,000"
16,Brandon Bolden,2019-2021 (FA: 2022),29,2,"$3,700,000","$1,850,000"
19,Malcolm Brown,2019-2020 (FA: 2021),25,2,"$3,300,000","$1,650,000"
23,T.J. Yeldon,2019-2020 (FA: 2021),25,2,"$3,200,000","$1,600,000"
84,C.J. Anderson,2019-2019 (FA: 2020),28,1,"$1,500,000","$1,500,000"
11,Miles Sanders,2019-2022 (FA: 2023),22,4,"$5,350,175","$1,337,544"
90,Darren Sproles,2019-2019 (FA: 2020),36,1,"$1,330,000","$1,330,000"
91,Spencer Ware,2019-2019 (FA: 2020),27,1,"$1,305,000","$1,305,000"
100,Kareem Hunt,2019-2019 (FA: 2020),23,1,"$1,100,000","$1,100,000"
13,Darrell Henderson,2019-2022 (FA: 2023),21,4,"$4,212,005","$1,053,001"
113,Marshawn Lynch,2019-2019 (FA: 2020),32,1,"$1,030,000","$1,030,000"
114,Taiwan Jones,2019-2019 (FA: 2020),30,1,"$1,020,000","$1,020,000"
114,Bilal Powell,2019-2019 (FA: 2020),30,1,"$1,020,000","$1,020,000"
114,Doug Martin,2019-2019 (FA: 2020),29,1,"$1,020,000","$1,020,000"
114,Alfred Morris,2019-2019 (FA: 2020),30,1,"$1,020,000","$1,020,000"
14,David Montgomery,2019-2022 (FA: 2023),22,4,"$4,015,380","$1,003,845"
118,Isaiah Crowell,2019-2019 (FA: 2020),26,1,"$1,000,000","$1,000,000"
15,Devin Singletary,2019-2022 (FA: 2023),21,4,"$3,898,000","$974,500"
119,Robert Turbin,2019-2019 (FA: 2020),29,1,"$930,000","$930,000"
119,Alfred Morris,2019-2019 (FA: 2020),30,1,"$930,000","$930,000"
17,Damien Harris,2019-2022 (FA: 2023),22,4,"$3,631,136","$907,784"
121,Kenjon Barner,2019-2019 (FA: 2020),29,1,"$895,000","$895,000"
121,Benny Cunningham,2019-2019 (FA: 2020),28,1,"$895,000","$895,000"
121,Alfred Blue,2019-2019 (FA: 2020),27,1,"$895,000","$895,000"
121,Cameron Artis-Payne,2019-2019 (FA: 2020),28,1,"$895,000","$895,000"
121,Corey Grant,2019-2019 (FA: 2020),27,1,"$895,000","$895,000"
18,Alexander Mattison,2019-2022 (FA: 2023),20,4,"$3,471,172","$867,793"
126,Javorius Allen,2019-2019 (FA: 2020),27,1,"$850,000","$850,000"
127,Thomas Rawls,2019-2019 (FA: 2020),25,1,"$825,000","$825,000"
20,Bryce Love,2019-2022 (FA: 2023),21,4,"$3,274,332","$818,583"
21,Justice Hill,2019-2022 (FA: 2023),21,4,"$3,261,656","$815,414"
128,Senorise Perry,2019-2019 (FA: 2020),27,1,"$810,000","$810,000"
128,Ameer Abdullah,2019-2019 (FA: 2020),25,1,"$810,000","$810,000"
22,Benny Snell Jr.,2019-2022 (FA: 2023),21,4,"$3,222,068","$805,517"
130,Andre Ellington,2019-2019 (FA: 2020),30,1,"$805,000","$805,000"
130,Spencer Ware,2019-2019 (FA: 2020),27,1,"$805,000","$805,000"
130,Kerwynn Williams,2019-2019 (FA: 2020),27,1,"$805,000","$805,000"
130,Charcandrick West,2019-2019 (FA: 2020),27,1,"$805,000","$805,000"
130,Javorius Allen,2019-2019 (FA: 2020),27,1,"$805,000","$805,000"
130,Jay Ajayi,2019-2019 (FA: 2020),25,1,"$805,000","$805,000"
130,Zach Zenner,2019-2019 (FA: 2020),28,1,"$805,000","$805,000"
130,Rod Smith,2019-2019 (FA: 2020),27,1,"$805,000","$805,000"
130,Rod Smith,2019-2019 (FA: 2020),27,1,"$805,000","$805,000"
130,Jacquizz Rodgers,2019-2019 (FA: 2020),29,1,"$805,000","$805,000"
24,Tony Pollard,2019-2022 (FA: 2023),22,4,"$3,187,780","$796,945"
140,David Fluellen,2019-2019 (FA: 2020),27,1,"$720,000","$720,000"
140,Senorise Perry,2019-2019 (FA: 2020),28,1,"$720,000","$720,000"
140,Akeem Hunt,2019-2019 (FA: 2020),26,1,"$720,000","$720,000"
140,Tyler Ervin,2019-2019 (FA: 2020),25,1,"$720,000","$720,000"
140,Paul Perkins,2019-2019 (FA: 2020),24,1,"$720,000","$720,000"
140,J.D. McKissic,2019-2019 (FA: 2020),24,1,"$720,000","$720,000"
27,Ryquell Armstead,2019-2022 (FA: 2023),22,4,"$2,865,756","$716,439"
28,Qadree Ollison,2019-2022 (FA: 2023),22,4,"$2,831,564","$707,891"
29,Jordan Scarlett,2019-2022 (FA: 2023),23,4,"$2,829,412","$707,353"
85,Josh Ferguson,2019-2020 (FA: 2021),25,2,"$1,380,000","$690,000"
85,Josh Ferguson,2019-2020 (FA: 2021),25,2,"$1,380,000","$690,000"
85,Brandon Wilds,2019-2020 (FA: 2021),25,2,"$1,380,000","$690,000"
85,Samaje Perine,2019-2020 (FA: 2021),23,2,"$1,380,000","$690,000"
85,Trey Edmunds,2019-2020 (FA: 2021),24,2,"$1,380,000","$690,000"
31,Trayveon Williams,2019-2022 (FA: 2023),21,4,"$2,701,984","$675,496"
32,Ty Johnson,2019-2022 (FA: 2023),21,4,"$2,691,904","$672,976"
33,Dexter Williams,2019-2022 (FA: 2023),22,4,"$2,686,056","$671,514"
34,Travis Homer,2019-2022 (FA: 2023),20,4,"$2,662,816","$665,704"
35,Darwin Thompson,2019-2022 (FA: 2023),22,4,"$2,647,840","$661,960"
36,Rodney Anderson,2019-2022 (FA: 2023),22,4,"$2,647,353","$661,838"
37,Mike Weber,2019-2022 (FA: 2023),21,4,"$2,628,392","$657,098"
38,Kerrith Whyte,2019-2022 (FA: 2023),22,4,"$2,621,080","$655,270"
39,Myles Gaskin,2019-2022 (FA: 2023),22,4,"$2,606,777","$651,694"
146,Troymaine Pope,2019-2019 (FA: 2020),25,1,"$645,000","$645,000"
146,Elijah McGuire,2019-2019 (FA: 2020),25,1,"$645,000","$645,000"
