player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
Eddie Pleasant,7593,S,HST,14,1,3.9,1,0,13,67.2,62.7,0.0,65.5,49.1,44.9,20.0,2,5,63,65,4.8,3,7
Chris Lewis-Harris,7624,CB,CIN,2,0,,0,0,7,68.6,70.4,78.0,72.7,61.4,79.6,,0,0,6,6,0.0,0,0
Harrison Smith,7641,S,MIN,14,8,4.3,0,1,18,78.2,85.0,87.6,77.3,87.9,74.0,9.5,4,0,301,313,4.7,14,30
Mike Martin,7644,DI,TEN,5,0,,0,0,31,60.0,55.5,77.7,58.2,53.0,67.3,,0,0,12,15,0.0,0,0
Malik Jackson,7647,DI,DEN,19,2,3.4,1,0,10,63.7,80.2,33.7,75.4,78.7,70.4,7.1,3,8,329,335,7.6,25,37
Brandon Marshall,7648,LB,DEN,19,14,2.6,1,1,10,67.5,77.1,87.9,61.0,83.4,83.3,1.5,1,4,393,402,10.2,40,52
Josh Norman,7649,CB,CAR,19,4,6.7,2,0,5,89.9,85.7,11.9,76.3,63.1,47.0,22.2,4,8,374,384,1.3,5,10
Corey White,7652,CB,ARZ,3,0,21.0,0,0,1,62.7,58.0,80.8,74.7,31.6,26.0,50.0,2,0,31,31,3.2,1,2
Justin Bethel,7654,CB,ARZ,13,1,6.0,1,0,1,62.3,62.6,86.7,69.5,52.8,68.2,33.3,2,3,140,144,0.7,1,3
Kourtnei Brown,7679,ED,TB,4,0,4.0,0,0,30,60.9,58.9,83.7,55.6,59.8,28.2,50.0,1,0,27,27,3.7,1,1
Dezman Moses,7696,ED,KC,3,0,,0,0,16,61.6,46.6,0.0,56.4,44.9,71.4,,0,1,10,10,0.0,0,0
Neiko Thorpe,7716,CB,OAK,13,2,8.5,1,0,23,52.6,51.2,46.4,60.0,46.9,56.2,33.3,2,8,102,103,0.0,0,2
Ishmaa'ily Kitchen,7726,DI,NE,2,0,,0,0,19,,60.3,73.5,65.0,56.7,,,0,0,8,9,0.0,0,0
Cordarro Law,7727,ED,SD,9,1,1.0,0,0,27,60.0,60.4,81.4,62.0,62.7,73.8,0.0,0,0,38,38,7.9,3,3
Will Tukuafu,7764,FB,SEA,1,0,,0,0,29,,56.0,71.5,54.9,60.0,,,0,1,2,2,0.0,0,0
Barkevious Mingo,7787,ED,CLV,15,4,3.2,0,0,8,69.0,62.1,31.1,63.5,54.5,56.7,0.0,0,1,89,93,5.6,5,5
D.J. Hayden,7793,CB,OAK,15,2,9.9,2,0,23,37.9,43.4,87.3,65.4,68.3,42.5,14.3,3,8,283,285,0.7,2,16
Sheldon Richardson,7794,DI,NYJ,11,1,3.2,0,0,22,58.9,71.0,65.2,75.9,56.8,64.6,13.0,3,2,197,202,6.6,13,19
Star Lotulelei,7795,DI,CAR,17,4,0.6,0,1,5,62.7,60.3,77.1,51.8,65.0,50.2,13.8,4,1,235,241,8.5,20,21
Kenny Vaccaro,7796,S,NO,16,18,5.4,2,1,20,61.5,65.1,24.8,56.5,75.9,63.9,6.0,4,6,396,412,6.3,25,45
Jarvis Jones,7798,ED,PIT,17,8,5.9,0,1,25,72.7,67.9,86.6,67.0,55.2,29.0,15.4,4,0,178,190,3.9,7,14
Eric Reid,7799,S,SF,16,3,10.5,0,0,28,65.8,66.7,92.7,66.1,63.1,60.9,30.8,8,1,458,476,0.4,2,15
Desmond Trufant,7803,CB,ATL,16,2,9.3,3,0,2,67.6,72.8,87.4,80.8,85.7,88.4,7.1,1,7,369,381,0.3,1,11
Sharrif Floyd,7804,DI,MIN,14,6,2.5,0,0,18,52.8,64.5,50.2,65.1,64.8,55.6,7.4,2,3,223,231,5.4,12,19
Bjoern Werner,7805,ED,IND,10,2,4.7,0,0,14,55.3,60.8,41.6,50.5,71.4,37.5,11.1,1,1,75,79,5.3,4,6
Xavier Rhodes,7806,CB,MIN,17,1,9.2,2,0,18,59.1,62.5,89.0,,72.6,60.3,12.5,2,12,385,400,1.6,6,13
Datone Jones,7807,DI,GB,16,3,0.2,1,0,12,67.4,64.9,42.4,61.3,69.7,45.4,6.3,1,3,104,104,10.6,11,12
Sylvester Williams,7809,DI,DEN,18,7,1.6,0,0,10,58.4,67.8,67.3,57.9,71.8,76.0,3.7,1,2,285,290,5.6,16,19
Alec Ogletree,7811,LB,SL,4,6,5.9,0,0,26,44.8,54.0,25.5,67.2,67.4,68.4,7.7,2,1,99,103,11.1,11,18
Johnathan Cyprien,7814,S,JAX,14,10,6.2,1,0,15,50.8,54.5,68.0,70.0,59.3,46.6,20.3,14,4,394,401,6.6,26,45
Darius Slay,7817,CB,DET,16,0,8.8,1,0,11,77.0,78.1,87.8,47.2,77.1,78.7,0.0,0,3,370,379,1.1,4,9
Manti Te'o,7819,LB,SD,12,11,3.6,0,1,27,53.5,44.2,29.1,55.3,41.5,50.2,16.0,8,2,275,277,6.2,17,31
Tank Carradine,7821,DI,SF,13,6,4.5,0,0,28,68.4,79.8,57.1,63.1,69.1,66.1,6.7,1,1,94,96,3.2,3,8
Johnthan Banks,7824,CB,TB,11,1,4.4,0,0,30,46.6,51.2,46.8,,73.5,44.7,14.3,1,1,187,192,1.1,2,5
Kawann Short,7825,DI,CAR,19,10,1.1,0,0,5,58.9,90.5,46.6,87.7,88.8,59.2,13.6,6,3,272,280,8.8,24,28
Kevin Minter,7826,LB,ARZ,18,15,2.1,0,0,1,49.7,50.4,4.4,63.9,55.5,58.5,11.0,8,5,382,396,10.5,40,50
Kiko Alonso,7827,LB,PHI,11,5,4.7,0,0,24,53.5,40.1,86.6,46.0,32.2,45.4,18.5,5,1,181,189,5.0,9,17
Johnathan Hankins,7830,DI,NYG,9,5,2.6,0,1,21,67.1,78.0,71.4,55.5,85.7,67.1,3.7,1,1,178,180,6.7,12,21
Jon Bostic,7831,LB,NE,3,0,,0,0,19,51.0,46.3,76.8,46.6,61.6,22.3,,0,0,4,4,0.0,0,0
David Amerson,7832,CB,OAK,14,2,3.7,0,1,23,76.0,76.2,19.2,,81.6,52.8,7.7,1,6,266,269,1.9,5,10
Jamie Collins Sr.,7833,LB,NE,14,13,2.9,0,1,19,70.1,84.0,91.7,87.2,79.0,50.9,11.1,7,0,306,316,10.5,32,43
Margus Hunt,7834,ED,CIN,6,0,,0,0,7,64.1,62.5,81.1,55.7,58.0,69.2,,0,0,13,13,0.0,0,0
Jamar Taylor,7835,CB,MIA,12,3,4.8,0,0,17,40.4,42.4,59.3,55.5,54.8,54.0,25.0,6,5,274,287,2.9,8,15
Arthur Brown,7837,LB,BLT,1,0,,0,0,3,61.6,45.6,73.4,53.6,60.0,,,0,0,1,1,0.0,0,0
D.J. Swearinger Sr.,7838,S,ARZ,10,4,5.4,0,1,1,52.7,53.7,82.6,53.1,59.8,42.2,11.1,2,1,112,117,6.3,7,12
Robert Alford,7841,CB,ATL,15,2,7.5,3,0,2,63.7,64.9,87.5,61.6,64.0,66.2,18.8,3,7,337,348,1.2,4,11
Dwayne Gratz,7845,CB,JAX,12,1,4.4,0,0,15,52.4,55.9,85.7,59.1,70.6,74.2,10.0,1,2,156,157,3.2,5,8
Sio Moore,7847,LB,IND,5,0,2.0,0,0,14,45.0,38.7,0.0,58.9,52.4,31.7,20.0,1,1,22,24,13.6,3,4
Bennie Logan,7848,DI,PHI,14,4,2.1,0,0,24,85.3,73.3,63.5,49.6,80.9,64.4,8.8,5,2,284,295,14.8,42,48
Tyrann Mathieu,7850,CB,ARZ,14,6,5.9,1,1,1,90.9,90.8,22.7,83.2,82.3,64.0,12.8,5,6,281,293,6.0,17,28
Blidi Wreh-Wilson,7851,CB,TEN,9,0,3.5,1,0,31,50.6,51.5,27.7,59.1,65.3,50.2,33.3,1,2,84,90,1.2,1,2
T.J. McDonald,7852,S,SL,11,4,3.9,0,0,26,53.7,58.4,87.5,64.1,63.8,55.7,13.9,5,0,291,299,5.5,16,27
J.J. Wilcox,7861,S,DAL,16,5,8.7,0,0,9,57.5,52.8,60.9,65.7,42.4,28.6,23.5,8,3,339,353,0.6,2,21
Damontre Moore,7862,ED,MIA,14,2,4.8,0,0,17,67.6,49.7,7.7,56.5,47.0,71.4,14.3,1,4,42,43,2.4,1,4
John Jenkins,7863,DI,NO,14,22,3.1,0,1,20,55.9,67.7,88.5,58.0,68.6,79.8,5.7,3,0,263,275,7.2,19,28
Logan Ryan,7864,CB,NE,18,3,3.2,0,0,19,70.2,73.2,88.9,53.4,80.8,90.9,0.0,0,4,390,397,2.1,8,13
Shawn Williams,7865,S,CIN,12,2,12.3,0,1,7,83.0,79.6,86.6,50.6,58.0,51.6,27.3,3,1,121,125,0.8,1,6
Jordan Hill,7868,DI,SEA,12,6,1.7,0,0,29,56.8,62.9,85.5,55.3,71.5,75.7,0.0,0,0,92,95,13.0,12,14
Corey Lemonier,7869,ED,SF,10,8,13.0,0,0,28,60.1,48.8,34.9,53.2,50.5,37.6,8.3,1,2,121,128,0.0,0,3
Kayvon Webster,7871,CB,DEN,8,0,,0,0,10,46.6,42.2,0.0,,64.7,57.6,,0,2,20,20,0.0,0,0
Duron Harmon,7872,S,NE,14,2,12.7,0,0,19,85.1,77.8,85.1,,42.6,42.2,25.0,3,0,172,177,0.0,0,7
Will Davis,7874,CB,BLT,1,0,,0,0,3,72.0,71.8,75.2,,60.0,75.1,,0,0,3,3,0.0,0,0
Brandon Williams,7875,DI,BLT,16,8,2.3,0,1,3,55.7,81.7,70.2,57.8,89.0,59.4,11.7,7,2,339,346,10.6,36,45
Akeem Spence,7882,DI,TB,8,3,2.6,0,0,30,73.0,63.0,40.3,70.2,54.9,73.7,0.0,0,2,126,128,5.6,7,10
Alex Okafor,7885,ED,ARZ,13,6,2.0,0,0,1,52.6,61.1,64.8,62.2,61.1,43.4,4.8,1,2,253,262,3.6,9,14
