player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
Julius Peppers,1010,ED,GB,19,4,1.8,0,0,12,56.3,73.8,70.8,73.8,64.2,58.9,10.5,2,2,195,204,5.6,11,13
Dwight Freeney,1019,ED,ATL,17,2,0.7,1,0,2,60.0,68.9,69.1,69.4,53.9,47.6,16.7,1,3,83,86,3.6,3,3
James Harrison,1251,ED,PIT,18,11,1.8,0,0,25,73.9,89.6,75.8,85.4,80.5,81.9,6.5,3,1,241,244,9.5,23,32
Terence Newman,1321,CB,MIN,15,0,2.6,0,0,18,83.0,83.0,86.5,53.9,74.8,71.3,12.5,1,4,288,295,1.7,5,7
Terrell Suggs,1326,ED,BLT,15,5,0.5,1,0,3,61.2,69.7,33.1,67.9,71.9,61.8,9.1,2,5,221,231,5.9,13,15
Robert Mathis,1447,ED,IND,14,2,2.3,0,0,14,51.1,54.3,89.2,61.0,41.7,42.1,23.5,4,0,155,161,5.2,8,11
Cullen Jenkins,1637,DI,WAS,15,1,1.0,0,0,32,57.2,59.9,64.8,63.1,56.8,60.9,6.7,1,1,111,116,9.9,11,13
DeAngelo Hall,1729,S,WAS,3,0,5.8,0,0,32,53.2,55.4,79.3,54.9,64.9,57.1,16.7,1,0,73,73,2.7,2,5
Vince Wilfork,1742,DI,HST,17,5,1.3,0,0,13,59.3,59.0,64.5,56.5,60.7,77.0,7.7,2,2,272,282,5.9,16,19
Karlos Dansby,1754,LB,CIN,16,12,3.8,2,0,7,62.2,65.0,63.6,61.7,67.0,70.4,6.9,4,3,284,292,9.5,27,42
Daryl Smith,1760,LB,TB,16,5,2.8,0,0,30,60.6,57.5,85.2,51.3,56.4,66.4,9.5,2,0,237,242,4.6,11,14
Antonio Smith,1856,DI,HST,15,1,0.3,0,0,13,60.0,49.4,39.6,59.3,43.8,71.8,0.0,0,2,53,57,5.7,3,4
Mike Adams,1972,S,IND,15,5,10.7,0,2,14,70.1,75.9,89.3,59.5,86.2,77.7,10.8,4,0,368,380,1.4,5,28
Adam Jones,2223,CB,CIN,16,1,6.1,1,0,7,72.0,71.4,30.3,54.0,73.1,55.3,13.3,2,8,375,384,1.1,4,12
DeMarcus Ware,2228,ED,DEN,9,5,4.0,2,0,10,53.6,64.5,13.0,68.4,66.1,60.3,16.7,2,4,94,95,2.1,2,5
Thomas Davis Sr.,2231,LB,CAR,16,9,3.7,0,1,5,60.5,66.4,49.9,89.9,60.8,71.6,7.0,3,2,319,327,6.0,19,31
Derrick Johnson,2232,LB,KC,13,15,3.4,0,0,16,82.8,70.5,88.7,50.5,51.4,47.5,18.4,14,0,310,317,10.0,31,47
Jonathan Babineaux,2276,DI,ATL,19,3,1.9,0,0,2,53.0,53.3,73.6,53.9,57.5,27.4,20.0,5,1,164,172,8.5,14,17
Darren Sproles,2347,HB,PHI,2,0,30.0,0,0,24,,63.6,62.9,,61.7,71.4,0.0,0,1,2,2,0.0,0,1
