player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
Ray Lewis,167,LB,BLT,10,11,4.8,0,0,3,34.6,48.7,59.0,53.2,71.5,86.5,4.8,3,2,316,328,7.0,22,49
Ronde Barber,261,S,TB,16,11,4.1,0,1,30,81.9,79.4,39.9,60.0,76.0,65.7,18.4,9,5,350,366,5.4,19,29
Charles Woodson,330,CB,GB,9,6,4.9,1,0,12,55.4,60.4,87.5,46.9,78.4,83.1,6.9,2,4,233,240,4.3,10,21
Keith Brooking,336,LB,DEN,17,9,4.6,0,0,10,66.4,60.9,82.3,58.1,55.0,90.3,0.0,0,0,249,252,6.0,15,27
Takeo Spikes,337,LB,SD,16,20,2.9,1,0,27,61.6,66.7,27.0,65.7,70.6,87.6,0.0,0,2,305,312,6.9,21,32
Vonnie Holliday,340,DI,ARZ,16,4,2.9,0,0,1,,47.2,81.0,58.2,41.7,75.5,0.0,0,0,90,92,10.0,9,10
London Fletcher,424,LB,WAS,17,13,5.5,1,1,32,58.5,53.5,31.0,57.8,51.0,45.2,17.3,13,5,366,372,5.7,21,49
Champ Bailey,442,CB,DEN,17,7,3.5,0,0,10,68.3,71.9,89.7,54.3,81.7,85.6,13.0,3,7,412,423,1.7,7,13
Antoine Winfield,456,CB,MIN,17,8,2.3,0,0,18,74.1,82.3,89.0,62.4,92.3,79.4,10.4,5,2,368,378,7.3,27,35
Mike Peterson,463,LB,ATL,8,4,7.5,0,0,2,42.5,58.2,78.7,61.6,68.0,29.7,14.3,2,0,76,78,7.9,6,8
Brendon Ayanbadejo,542,LB,BLT,6,4,3.5,0,0,3,83.5,77.8,77.3,65.9,59.3,79.3,0.0,0,0,58,61,12.1,7,13
Brian Urlacher,587,LB,CHI,12,6,1.7,0,2,6,84.1,60.5,25.1,50.1,34.9,70.1,20.0,9,2,251,256,8.8,22,30
John Abraham,591,ED,ATL,18,3,1.2,1,2,2,67.8,79.1,17.0,87.0,60.3,51.2,16.0,4,6,287,291,5.2,15,18
Clark Haggans,670,ED,SF,7,0,3.0,0,0,28,71.7,62.7,75.2,53.0,63.2,71.5,0.0,0,0,15,16,0.0,0,1
Paris Lenon,751,LB,ARZ,16,8,5.2,0,1,1,53.2,50.9,92.2,58.4,49.2,60.6,7.8,7,0,449,461,8.7,39,75
