player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
Charles Woodson,330,S,OAK,16,7,8.5,0,1,23,71.3,73.2,84.0,70.6,73.2,62.3,15.6,7,0,414,425,1.4,6,31
London Fletcher,424,LB,WAS,16,19,3.6,0,0,32,63.4,45.3,74.3,58.2,29.4,54.3,12.5,8,3,399,408,5.0,20,37
Champ Bailey,442,CB,DEN,8,0,6.3,0,0,10,66.2,63.4,83.8,45.1,47.5,50.0,0.0,0,0,89,95,0.0,0,3
John Abraham,591,ED,ARZ,16,1,0.4,0,0,1,80.7,77.3,64.6,76.5,61.4,76.6,8.3,2,3,286,293,6.6,19,21
Paris Lenon,751,LB,DEN,15,3,1.8,0,0,10,28.8,37.6,81.7,72.6,60.1,44.1,15.0,3,1,153,156,7.2,11,14
Justin Smith,776,DI,SF,19,11,3.0,0,0,28,63.1,62.9,68.1,62.6,60.2,71.4,3.8,2,2,336,351,8.9,30,39
Andre Carter,779,ED,NE,8,1,4.0,0,0,19,59.4,56.7,82.3,52.7,67.8,72.0,0.0,0,0,31,31,3.2,1,1
Ryan Pickett,799,DI,GB,17,5,2.7,0,0,12,60.4,61.6,85.5,48.1,67.1,78.4,0.0,0,0,298,304,6.4,19,24
Shaun Rogers,828,DI,NYG,7,0,2.1,1,0,21,60.0,63.0,27.0,62.6,65.6,72.5,0.0,0,2,96,101,6.3,6,7
Julius Peppers,1010,ED,CHI,16,5,3.1,0,0,6,65.3,65.6,56.6,67.2,58.9,55.4,8.6,3,3,366,372,4.9,18,27
Quentin Jammer,1013,CB,DEN,10,1,3.3,0,0,10,65.3,67.7,32.4,59.0,86.3,85.2,0.0,0,3,64,66,4.7,3,3
Dwight Freeney,1019,ED,SD,4,0,,0,0,27,48.8,67.2,80.9,77.0,46.8,70.6,,0,0,44,45,0.0,0,0
Edward Reed,1031,S,NYJ,13,5,10.2,1,0,22,44.9,48.2,13.8,40.3,69.9,69.1,10.5,2,2,232,237,0.4,1,12
Will Witherspoon,1079,LB,SL,6,3,1.3,0,0,26,62.4,63.8,70.7,63.0,62.5,83.2,0.0,0,0,68,69,7.4,5,6
Larry Foote,1126,LB,PIT,1,1,1.5,0,0,25,65.2,44.8,79.4,54.6,41.9,32.6,28.6,2,0,34,35,5.9,2,4
Justin Bannan,1134,DI,DET,3,0,9.0,0,0,11,,62.0,75.2,76.3,52.3,66.8,50.0,1,0,16,17,0.0,0,1
Brett Keisel,1204,DI,PIT,12,9,2.3,0,0,25,57.9,56.8,84.7,61.4,51.7,69.4,6.9,2,0,245,253,4.9,12,18
Ryan Clark,1229,S,PIT,16,12,6.5,0,0,25,67.9,67.2,66.9,50.2,66.4,72.1,11.7,7,2,408,419,3.9,16,41
James Harrison,1251,LB,CIN,16,2,1.3,0,0,7,75.4,78.5,17.9,57.3,88.9,65.5,6.3,1,2,160,164,6.9,11,13
Terence Newman,1321,CB,CIN,13,1,5.2,1,0,7,71.6,72.5,87.8,,68.2,52.8,25.0,2,5,281,284,1.1,3,5
Kevin Williams,1325,DI,MIN,15,3,2.5,1,0,18,57.1,66.5,68.0,61.8,69.5,48.4,15.8,3,2,232,236,4.7,11,13
Terrell Suggs,1326,ED,BLT,16,10,2.1,1,0,3,63.1,73.7,61.1,66.5,75.7,79.4,3.4,2,4,336,346,11.3,38,46
Troy Polamalu,1332,S,PIT,16,12,6.6,0,1,25,90.1,83.8,0.0,67.9,65.9,70.6,10.6,5,5,411,422,3.6,15,30
Calvin Pace,1334,ED,NYJ,16,7,6.2,0,0,22,78.6,73.2,53.1,61.2,71.9,56.6,13.3,4,2,327,338,3.7,12,19
Nick Barnett,1345,LB,WAS,7,1,3.0,0,0,32,41.1,54.4,80.3,63.8,73.8,35.7,0.0,0,0,29,29,10.3,3,4
Nnamdi Asomugha,1347,CB,SF,3,0,20.5,0,0,28,52.7,49.6,80.5,59.4,37.7,25.0,33.3,1,1,46,50,0.0,0,2
Charles Tillman,1351,CB,CHI,8,3,7.4,0,2,6,53.2,57.6,0.0,60.0,88.8,64.2,13.6,3,5,189,191,4.2,8,16
Rashean Mathis,1355,CB,DET,15,2,4.8,1,0,11,72.7,72.8,89.1,,64.1,53.2,21.4,3,4,275,285,1.5,4,9
Drayton Florence,1362,CB,CAR,15,0,7.0,0,0,5,75.3,74.3,87.0,58.8,55.9,58.7,20.0,1,6,148,154,1.4,2,4
Osi Umenyiora,1371,ED,ATL,16,5,5.4,1,0,2,70.7,70.8,64.0,63.8,70.3,72.2,3.3,1,2,256,261,5.5,14,24
Cory Redding,1381,DI,IND,17,12,1.3,0,0,14,66.0,67.5,66.7,55.7,73.8,56.9,16.7,7,1,294,301,5.4,16,23
Lance Briggs,1383,LB,CHI,9,5,2.3,0,1,6,55.0,58.0,40.8,71.6,59.1,48.3,21.7,10,1,243,246,9.9,24,31
